seed,trader_count,traditional_return_fwd,tokenized_return_fwd,spread_return_fwd,traditional_volatility_fwd,tokenized_volatility_fwd,spread_volatility_fwd,traditional_micro_return_fwd,tokenized_micro_return_fwd,spread_micro_return_fwd,traditional_stress_fwd,tokenized_stress_fwd,spread_stress_fwd
134,2000,-2.1971653868442242,3.4882493295888883,5.685414716433113,2.362677086481057,3.51737430882699,1.1546972223459329,11.447718360973624,6.217296361913394,-5.230421999060231,53.33333333333333,29.166666666666668,-24.16666666666666
135,2000,19.80170377095989,3.755944546501788,-16.045759224458102,3.2909500813499366,3.9901667909195,0.6992167095695634,12.54142307812549,6.743220546427953,-5.798202531697537,76.66666666666666,36.666666666666664,-39.99999999999999
136,2000,-2.5929601554086856,4.987671004689953,7.580631160098639,2.792381436444347,3.54653779527319,0.7541563588288427,11.145588172156318,4.108025312222052,-7.0375628599342654,80.83333333333333,50.0,-30.83333333333333
137,2000,18.880841609362054,5.762602907812897,-13.118238701549156,3.221217316389116,3.240626131732581,0.019408815343465058,14.168668881109348,4.4172784271716115,-9.751390453937736,81.66666666666666,36.66666666666667,-44.999999999999986
138,2000,10.036811025007575,12.430583416034956,2.3937723910273814,3.628878054714525,2.0638212375449374,-1.5650568171695878,11.513505710127614,4.53264244183933,-6.980863268288284,83.33333333333334,26.666666666666664,-56.66666666666668
139,2000,13.99264717958102,1.2580032892961723,-12.734643890284847,3.514884864860271,3.6355064331052955,0.12062156824502468,11.746669939262189,2.923362909499838,-8.82330702976235,78.33333333333334,61.66666666666667,-16.66666666666667
140,2000,8.016075789888589,11.224899174391357,3.208823384502768,2.270019991915463,4.978732525806261,2.7087125338907976,13.304856079736304,15.111231753217957,1.8063756734816536,46.666666666666664,55.0,8.333333333333336
141,2000,12.522083095786085,15.047005027790107,2.5249219320040215,3.5593269384362323,2.459945674317252,-1.0993812641189802,25.777026294682525,3.9468549976127365,-21.83017129706979,74.16666666666666,37.5,-36.66666666666666
142,2000,8.745492467699446,9.307863576323626,0.5623711086241805,3.5573278618616424,3.000158868889831,-0.5571689929718113,12.499854182625558,5.949971764899775,-6.549882417725783,80.0,27.5,-52.5
143,2000,15.782521684251027,6.194528319150883,-9.587993365100143,3.578353536966757,2.7019043359409816,-0.8764492010257756,13.019507066931425,3.903229950049325,-9.116277116882099,85.0,46.66666666666667,-38.33333333333333
144,2000,25.90496702492311,0.6015517407227611,-25.303415284200348,2.9664153454708746,4.426903166542013,1.4604878210711387,13.91349112564495,3.7212165571597122,-10.192274568485237,77.5,54.166666666666664,-23.333333333333336
145,2000,-8.514866351813922,5.498896138478893,14.013762490292814,3.0768831623731017,4.254936490274917,1.1780533279018157,9.066624091215303,5.602667914019888,-3.4639561771954153,71.66666666666667,56.666666666666664,-15.000000000000007
146,2000,15.704160420053913,10.57079377145258,-5.133366648601333,3.022371168144196,4.928419401733318,1.9060482335891216,11.958649304375335,7.371905954091917,-4.586743350283418,64.16666666666666,45.83333333333333,-18.33333333333333
147,2000,7.697938441830843,14.678190934024048,6.980252492193205,3.001226207121202,3.4099856209527317,0.4087594138315298,12.190545295664323,8.308632669828665,-3.8819126258356587,70.0,38.33333333333333,-31.66666666666667
148,2000,9.067149034209155,9.66189695259143,0.594747918382275,3.363282615767519,3.634377181665236,0.27109456589771685,11.118301787489514,5.441255238035225,-5.677046549454289,75.0,62.5,-12.5
